date,teacher,genre,song,city,venue
2024-05-01,空空,KPOP/MV,dance the night away,上海,BOUNCE曲阳
2024-05-01,可可,HIPHOP,,上海,BOUNCE曲阳
2024-05-05,潘潘,KPOP/MV,i ll see u tomorrow,上海,ACS静安
2024-05-05,joho,KPOP/MV,psychic,上海,ACS静安
2024-05-08,kako,JAZZ,,上海,BOUNCE曲阳
2024-05-08,可可,HIPHOP,,上海,BOUNCE曲阳
2024-05-12,lexie,JAZZ,,上海,BOUNCE曲阳
2024-05-12,yuki,KPOP/MV,girls never die,上海,BOUNCE曲阳
2024-05-13,玮玮,KPOP/MV,maestro,上海,ACS静安
2024-05-17,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-05-19,jop,HIPHOP,,上海,BOUNCE曲阳
2024-05-19,cassie,KPOP/MV,easy,上海,BOUNCE曲阳
2024-05-19,菲菲,KPOP/MV,girls never die,上海,BOUNCE曲阳
2024-05-22,kako,JAZZ,,上海,BOUNCE曲阳
2024-05-22,可可,HIPHOP,,上海,BOUNCE曲阳
2024-05-23,zoe,JAZZ,,上海,ACS静安
2024-05-25,花生,HIPHOP,,上海,BOUNCE曲阳
2024-05-26,lexie,JAZZ,,上海,BOUNCE曲阳
2024-05-26,yuki,KPOP/MV,Supernova db,上海,BOUNCE曲阳
2024-05-29,空空,KPOP/MV,new dance 小way,上海,BOUNCE曲阳
2024-05-29,可可,HIPHOP,,上海,BOUNCE曲阳
2024-05-31,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-06-02,yuki,KPOP/MV,how sweet,上海,BOUNCE曲阳
2024-06-07,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-06-08,花生,KPOP/MV,psychic,上海,BOUNCE曲阳
2024-06-09,joho,KPOP/MV,how sweet,上海,ACS静安
2024-06-21,小玉,KPOP/MV,dynamite,上海,BOUNCE曲阳
2024-06-24,小黑,HOUSE,,北京,Gsteps国贸
2024-06-24,小黑,HOUSE,,北京,Gsteps国贸
2024-06-28,小蓝,KPOP/MV,boom boom bass,北京,Gsteps五道口
2024-06-28,小蓝,KPOP/MV,boom boom bass,北京,Gsteps五道口
2024-07-06,晶晶,KPOP/MV,spell,北京,Gsteps国贸
2024-07-06,晶晶,KPOP/MV,super natural,北京,Gsteps国贸
2024-07-06,晶晶,KPOP/MV,super natural,北京,Gsteps国贸
2024-07-07,苏瑾,KPOP/MV,maestro,北京,Gsteps安贞门
2024-07-07,苏瑾,KPOP/MV,maestro,北京,Gsteps安贞门
2024-07-14,小蓝,KPOP/MV,等你的回答,北京,Gsteps大望路
2024-07-14,小蓝,KPOP/MV,等你的回答,北京,Gsteps大望路
2024-08-05,四火,KPOP/MV,boom boom bass,北京,Gsteps国贸
2024-08-05,四火,KPOP/MV,boom boom bass,北京,Gsteps国贸
2024-08-08,郑伟henry,HIPHOP,,北京,Gsteps国贸
2024-08-08,郑伟henry,HIPHOP,,北京,Gsteps国贸
2024-08-10,小鱼,HOUSE,,北京,Gsteps国贸
2024-08-18,zihao,URBAN,,北京,Gsteps国贸
2024-08-18,zihao,URBAN,,北京,Gsteps国贸
2024-09-01,zihao,URBAN,,北京,Gsteps国贸
2024-09-01,zihao,URBAN,,北京,Gsteps国贸
2024-09-09,小黑,HOUSE,,北京,Gsteps国贸
2024-09-15,四火,KPOP/MV,chkchkboom,北京,Gsteps朝阳大悦城
2024-09-15,四火,KPOP/MV,chkchkboom,北京,Gsteps朝阳大悦城
2024-09-21,小鱼,HOUSE,,北京,Gsteps国贸
2024-09-21,小鱼,HOUSE,,北京,Gsteps国贸
2024-09-22,阿梦,KPOP/MV,meow,北京,Gsteps大望路
2024-09-22,阿梦,KPOP/MV,meow,北京,Gsteps大望路
2024-09-23,小黑,HOUSE,,北京,Gsteps国贸
2024-09-23,小黑,HOUSE,,北京,Gsteps国贸
2024-09-24,D-cay,HIPHOP,,北京,Gsteps国贸
2024-09-24,D-cay,HIPHOP,,北京,Gsteps国贸
2024-09-25,阿越,HIPHOP,,北京,Gsteps大望路
2024-09-29,俊腾,CHOREO,,上海,ACS静安
2024-09-29,俊腾,HIPHOP,,上海,BOUNCE曲阳
2024-09-30,大橘,HIPHOP,,上海,BOUNCE曲阳
2024-10-02,星星,HIPHOP,,上海,BOUNCE曲阳
2024-10-03,kinki,HOUSE,,上海,Caster杨浦创智
2024-10-04,童童,KPOP/MV,meow,上海,BOUNCE曲阳
2024-10-04,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-10-06,俊腾,HIPHOP,,上海,BOUNCE曲阳
2024-10-06,俊腾,CHOREO,,上海,BOUNCE曲阳
2024-10-09,詹詹,KPOP/MV,touch,上海,BOUNCE曲阳
2024-10-09,可可,HIPHOP,,上海,BOUNCE曲阳
2024-10-10,kinki,HOUSE,,上海,Caster杨浦创智
2024-10-11,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-10-11,童童,JAZZ,you&me,上海,BOUNCE曲阳
2024-10-12,童童,JAZZ,,上海,BOUNCE曲阳
2024-10-12,星星,HIPHOP,,上海,BOUNCE曲阳
2024-10-12,大橘,CHOREO,,上海,BOUNCE曲阳
2024-10-16,sisi,KPOP/MV,iykyk,上海,Bounce瑞虹太阳宫
2024-10-17,COCO,JAZZ,,上海,Caster杨浦创智
2024-10-17,kinki,HOUSE,,上海,Caster杨浦创智
2024-10-18,KEY,HIPHOP,,上海,Caster虹口足球场
2024-10-18,KEY,HIPHOP,,上海,Caster虹口足球场
2024-10-19,gojo,HIPHOP,,上海,BOUNCE曲阳
2024-10-20,俊腾,HIPHOP,,上海,BOUNCE曲阳
2024-10-20,WAGGY,HIPHOP,哈林摇,上海,Caster杨浦创智
2024-10-21,SHAN,HIPHOP,gucci,上海,Caster虹口足球场
2024-10-22,gojo,CHOREO,,上海,Bounce瑞虹太阳宫
2024-10-23,QUAN,HIPHOP,,上海,Caster杨浦创智
2024-10-24,kinki,HOUSE,,上海,Caster杨浦创智
2024-10-25,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-10-25,JYANG,HIPHOP,,上海,Caster杨浦创智
2024-10-29,gojo,CHOREO,,上海,Bounce瑞虹太阳宫
2024-11-02,菲菲,KPOP/MV,hit the floor,上海,BOUNCE曲阳
2024-11-02,JYANG,HOUSE,,上海,Caster虹口足球场
2024-11-03,俊腾,HIPHOP,,上海,BOUNCE曲阳
2024-11-03,俊腾,CHOREO,,上海,BOUNCE曲阳
2024-11-05,星星,HIPHOP,,上海,Bounce瑞虹太阳宫
2024-11-05,叶子,CHOREO,,上海,Bounce瑞虹太阳宫
2024-11-07,kinki,HOUSE,,上海,Caster杨浦创智
2024-11-07,kinki,HOUSE,,上海,Caster杨浦创智
2024-11-08,YOMIKO,KPOP/MV,boomboombass最后一段,上海,Caster杨浦创智
2024-11-09,gojo,HIPHOP,,上海,BOUNCE曲阳
2024-11-09,詹詹,KPOP/MV,howling,上海,BOUNCE曲阳
2024-11-09,JYANG,HOUSE,,上海,Caster虹口足球场
2024-11-10,静静,JAZZ,goodbye,上海,BOUNCE曲阳
2024-11-10,俊腾,CHOREO,,上海,BOUNCE曲阳
2024-11-10,俊腾,HIPHOP,,上海,BOUNCE曲阳
2024-11-12,gojo,CHOREO,,上海,Bounce瑞虹太阳宫
2024-11-14,kinki,HOUSE,,上海,Caster杨浦创智
2024-11-14,kinki,HOUSE,,上海,Caster杨浦创智
2024-11-16,JYANG,HOUSE,,上海,Caster虹口足球场
2024-11-17,俊腾,HIPHOP,,上海,BOUNCE曲阳
2024-11-17,俊腾,CHOREO,,上海,BOUNCE曲阳
2024-11-19,gojo,CHOREO,,上海,Bounce瑞虹太阳宫
2024-11-20,QUAN,HIPHOP,,上海,Caster杨浦创智
2024-11-21,kinki,HOUSE,,上海,Caster杨浦创智
2024-11-21,kinki,HOUSE,,上海,Caster杨浦创智
2024-11-22,小玉,HIPHOP,,上海,BOUNCE曲阳
2024-11-23,JYANG,HOUSE,,上海,Caster虹口足球场
2024-11-24,俊腾,HIPHOP,,上海,BOUNCE曲阳
2024-11-24,俊腾,CHOREO,,上海,BOUNCE曲阳
2024-11-24,静静,JAZZ,,上海,BOUNCE曲阳
2024-11-26,babe,KPOP/MV,hype boy,上海,BOUNCE曲阳
2024-11-27,可可,HIPHOP,,上海,BOUNCE曲阳
2024-11-28,kinki,HOUSE,,上海,Caster杨浦创智
2024-11-28,kinki,HOUSE,,上海,Caster杨浦创智
2024-11-29,童童,KPOP/MV,,上海,BOUNCE曲阳
2024-11-29,童童,KPOP/MV,howling,上海,BOUNCE曲阳
2024-11-30,JYANG,HOUSE,,上海,Caster虹口足球场
2024-11-30,BAILEY,URBAN,,上海,Caster杨浦创智
2024-12-01,小满,HIPHOP,,上海,Caster虹口足球场
2024-12-01,俊腾,CHOREO,,上海,BOUNCE曲阳
2024-12-01,俊腾,HIPHOP,,上海,BOUNCE曲阳
2024-12-02,雨橙,KPOP/MV,love119,上海,Bounce瑞虹太阳宫
2024-12-04,十一,HIPHOP,,上海,BOUNCE曲阳
2024-12-05,kinki,HOUSE,,上海,Caster杨浦创智
2024-12-12,kinki,HOUSE,,上海,Caster杨浦创智
2024-12-14,JYANG,HOUSE,,上海,Caster虹口足球场
2024-12-23,小黑,HOUSE,,北京,Gsteps国贸
2024-12-27,Hiro,HOUSE,,北京,puresoul
2025-01-08,可可,HIPHOP,,上海,BOUNCE曲阳
2025-01-09,kinki,HOUSE,,上海,Caster杨浦创智
2025-01-11,JYANG,HOUSE,,上海,Caster虹口足球场
2025-01-12,俊腾,CHOREO,,上海,BOUNCE曲阳
2025-01-12,,HOUSE,,上海,Caster虹口足球场
2025-01-12,俊腾,HIPHOP,,上海,BOUNCE曲阳
2025-01-13,HULK,HIPHOP,,上海,Caster杨浦创智
2025-01-15,可可,HIPHOP,,上海,BOUNCE曲阳
2025-01-16,kinki,HOUSE,,上海,Caster杨浦创智
2025-02-11,babe,KPOP/MV,Pocketlocket,上海,BOUNCE曲阳
2025-02-20,kinki,HOUSE,,上海,Caster杨浦创智
2025-02-21,七七,KPOP/MV,newjeans,上海,Bounce瑞虹太阳宫
2025-02-22,BAILEY,URBAN,,上海,Caster杨浦创智
2025-02-22,kopra,JAZZ,boyfriend,上海,BOUNCE曲阳
2025-02-22,菲菲,KPOP/MV,wannabe,上海,BOUNCE曲阳
2025-02-23,俊腾,CHOREO,,上海,BOUNCE曲阳
2025-02-23,俊腾,HIPHOP,,上海,BOUNCE曲阳
2025-02-23,静静,KPOP/MV,lucifer,上海,BOUNCE曲阳
2025-02-26,子涵,KPOP/MV,17,上海,Bounce瑞虹太阳宫
2025-02-27,kinki,HOUSE,,上海,Caster杨浦创智
2025-02-28,YOMIKO,KPOP/MV,咆哮,上海,Caster杨浦创智
2025-03-02,俊腾,HIPHOP,,上海,BOUNCE曲阳
2025-03-02,俊腾,CHOREO,,上海,BOUNCE曲阳
2025-03-02,Bonnie,KPOP/MV,boom boom bass,上海,Bounce瑞虹太阳宫
2025-03-04,babe,KPOP/MV,Diamond,上海,BOUNCE曲阳
2025-03-05,可可,HIPHOP,,上海,BOUNCE曲阳
2025-03-06,kinki,HOUSE,,上海,Caster杨浦创智
2025-03-07,童童,KPOP/MV,howling,上海,BOUNCE曲阳
2025-03-11,星星,HIPHOP,,上海,Bounce瑞虹太阳宫
2025-03-11,gojo,HIPHOP,,上海,Bounce瑞虹太阳宫
2025-03-12,可可,HIPHOP,,上海,BOUNCE曲阳
2025-03-13,kinki,HOUSE,,上海,Caster杨浦创智
2025-03-14,KEY,HIPHOP,,上海,CASTER虹口月亮湾
2025-03-15,菲菲,KPOP/MV,wannabe,上海,BOUNCE曲阳
2025-03-15,李嘉琪,HIPHOP,,上海,BOUNCE曲阳
2025-03-17,PEGGY,KPOP/MV,like jennie,上海,CASTER虹口月亮湾
2025-03-19,可可,HIPHOP,,上海,BOUNCE曲阳
2025-03-24,雨橙,KPOP/MV,Stupid,上海,Bounce瑞虹太阳宫
2025-03-25,星星,CHOREO,,上海,Bounce瑞虹太阳宫
2025-03-25,gojo,CHOREO,,上海,Bounce瑞虹太阳宫
2025-03-26,可可,HIPHOP,,上海,BOUNCE曲阳
2025-03-27,kinki,HOUSE,,上海,Caster杨浦创智
2025-03-28,童童,KPOP/MV,Like jennie,上海,BOUNCE曲阳
2025-03-29,菲菲,KPOP/MV,Like jennie,上海,BOUNCE曲阳
2025-03-30,俊腾,CHOREO,,上海,BOUNCE曲阳
2025-03-30,俊腾,HIPHOP,,上海,BOUNCE曲阳
2025-03-31,雨橙,KPOP/MV,Fancy,上海,Bounce瑞虹太阳宫
2025-04-02,可可,HIPHOP,,上海,BOUNCE曲阳
2025-04-03,Venus,KPOP/MV,Whiplash,上海,Bounce瑞虹太阳宫
2025-04-03,Sassy,CHOREO,,上海,CASTER虹口太阳宫
2025-04-04,七七,KPOP/MV,Supernatural,上海,Bounce瑞虹太阳宫
2025-04-05,lexie,KPOP/MV,undefeated,上海,BOUNCE曲阳
2025-04-06,静静,KPOP/MV,super,上海,BOUNCE曲阳
2025-04-06,俊腾,HIPHOP,,上海,BOUNCE曲阳
2025-04-06,俊腾,CHOREO,,上海,BOUNCE曲阳
2025-04-08,Sassy,CHOREO,,上海,Caster杨浦创智
2025-04-08,babe,KPOP/MV,wayup,上海,BOUNCE曲阳
2025-04-09,可可,HIPHOP,,上海,BOUNCE曲阳
2025-04-10,kinki,HOUSE,,上海,Caster杨浦创智
2025-04-12,菲菲,KPOP/MV,像晴天像雨天,上海,BOUNCE曲阳
2025-04-13,俊腾,HIPHOP,,上海,BOUNCE曲阳
2025-04-13,俊腾,CHOREO,,上海,BOUNCE曲阳
2025-04-15,babe,KPOP/MV,Mr.Chu,上海,BOUNCE曲阳
2025-04-15,Sassy,CHOREO,,上海,Caster杨浦创智
2025-04-16,可可,HIPHOP,,上海,BOUNCE曲阳
2025-04-17,Venus,KPOP/MV,Attention,上海,Bounce瑞虹太阳宫
2025-04-17,kinki,HOUSE,,上海,Caster杨浦创智
2025-04-18,童童,KPOP/MV,Air,上海,BOUNCE曲阳
2025-04-18,童童,JAZZ,,上海,BOUNCE曲阳
2025-04-19,菲菲,KPOP/MV,teddy bear,上海,BOUNCE曲阳
2025-04-19,kopra,KPOP/MV,The chase,上海,BOUNCE曲阳
2025-04-20,俊腾,CHOREO,,上海,BOUNCE曲阳
2025-04-20,俊腾,HIPHOP,,上海,BOUNCE曲阳
2025-05-01,kinki,HOUSE,,上海,Caster杨浦创智
2025-05-02,zoe,KPOP/MV,seoul city,上海,Bounce瑞虹太阳宫
2025-05-02,海鹏,KPOP/MV,,上海,Bounce瑞虹太阳宫
2025-05-03,bling,KPOP/MV,bagbadback,上海,Mclock南京东路
2025-05-04,俊腾,CHOREO,,上海,BOUNCE曲阳
2025-05-04,俊腾,HIPHOP,,上海,BOUNCE曲阳
2025-05-06,zakry,CHOREO,,上海,Caster杨浦创智
2025-05-07,可可,HIPHOP,,上海,BOUNCE曲阳
2025-05-08,zoe,KPOP/MV,like a flower,上海,BOUNCE曲阳
2025-05-08,kinki,HOUSE,,上海,Caster杨浦创智
2025-05-11,俊腾,HIPHOP,,上海,BOUNCE曲阳
2025-05-11,俊腾,CHOREO,,上海,BOUNCE曲阳
2025-05-12,lexie,KPOP/MV,音乐之神,上海,Bounce瑞虹太阳宫
2025-05-13,Sassy,CHOREO,,上海,Caster杨浦创智
2025-05-15,Sassy,CHOREO,,上海,CASTER虹口太阳宫
2025-05-15,JYANG,HOUSE,,上海,CASTER虹口太阳宫
2025-05-19,雨橙,KPOP/MV,go hard,上海,Bounce瑞虹太阳宫
2025-05-20,Sassy,CHOREO,,上海,Caster杨浦创智
2025-05-21,可可,HIPHOP,,上海,BOUNCE曲阳
2025-05-22,kinki,HOUSE,,上海,Caster杨浦创智
2025-05-24,kinki,HOUSE,,上海,
2025-05-24,kinki,HOUSE,,上海,
2025-05-25,俊腾,HIPHOP,,上海,BOUNCE曲阳
2025-05-25,俊腾,CHOREO,,上海,BOUNCE曲阳
2025-05-27,Sassy,CHOREO,,上海,Caster杨浦创智
2025-06-01,俊腾,CHOREO,,上海,BOUNCE曲阳
2025-06-01,俊腾,HIPHOP,,上海,BOUNCE曲阳
